Address,Amount
0x4d7c214185408241ee8e34efa74d340b137c249e,12
0x1a0a1be34501dd9b858f5c980d150859b225b695,4
0x5286bc17220d51a36e55f5664d63a61bf9b127a6,182
0xd95ce06415bebfc3219b699dd2afa09aca38e70e,8
0xbb05755ef4eab7dfd4e0b34ef63b0bdd05cce20a,13
0xd50ec16851b00e48333699d66856207a416819f0,15
0xdffd8bbf8dcaf236c4e009ff6013bfc98407b6c0,9
0xb2e925c6f7140822cfb5934f2514abd1b635945a,26
0x8a70f96b5723321f751dec871870f67c4f17e012,12
0x35e58542acb07f8ba1ceb4ce4b3a7a5730df5800,1
0x917b40926c7cb57f356545f670bae91e9df75b53,1
0x91dd72d8e2f819eecc3d4f6538e3aad11d7d01cd,1
0x1eb4f5ae6e14f6376b7175656994f58cea565c0d,1
0x833634e4add904be71635bbcec6e3a5e152683fb,4
0xc0728216524a8178c661422677463a95de237e73,10
0x725fc8fe91dcf9343dd80342a93e45f2923c7334,10
0xb62f80b005049725ff707174a6ffa7b4103fb434,18
0xbb3700d6a5e8a8f84c34463c4052b215411856ba,54
0x2ca59e84a6dc0172a04a5384d1dea27e193b5295,27
0xf6e739de9916e884d3c0b917de551f60e4d8fd89,1
0x977469bde563c277cd0e92326126413043f4bacf,9
0x10b316e9a7ba5f6779b614923904b7ba438ecd4a,22
0xb72848f2803dedc263b9777517959c048022cf11,2
0x11ff58544aea8bdcb28eb350644d331b6f5a71f4,13
0x930e11d6e415f11afb687bd67abbad1791888888,1
0x876bba100e520a5552b13d8924b3fb86c9ebc8de,40
0xad9816a66b0e5714bdb61c2fa3b8a83c99f388cd,7
0x6ffbb6c376d0cf590289671d652ae92213614828,11
0xc13456a34305e9265e907f70f76b1ba6e2055c8b,3
0x934bc64d8681a4fc385da636c8b2c6ca7ecdf3d6,1
0x2af809a52829be6f6d53b9d8b510b4ca162166e2,1
0xf42872ade396ecc2b104005cd3fc0841a6eed6d5,82
0x7c6cc4fc9f054f851aa9ae3577087f00e017db5a,39
0x04c291e8288dcd44cc4ca058d13068117db11781,1
0x1bc836f5844c4e257d19f11da540b051aa550aa4,10
0xb6cf3474827e5091d9acd84e2e4bcf749d639785,1
0x7a1e2a610b02e84c34cd2e6c337aa90b9547ef25,4
0x02867162102172193ed3f6f9d2bec20a43e65b7e,11
0x4a7f1df9b2c3801198ac7c28c93a4273b821d2d0,1
0x1b9881274ae40655b0b1f41d733299bc90e360a1,1
0xd3e30d4914c650cfa94f6b32f8c240c763f2d389,10
0xd31d839a569caa378b94e78fb2ea050ca2c2239b,1
0x7c44830483eccdf977d87e78bd3059f2deebf19e,8
0x20d3731362f3fa892c0d5a0585385b2e0b304a1e,42
0xd8f0d4f6f0b3dd3f9ee040f1d99a4f67962c97bd,3
0xa4ae1722a5fb118a09c29704099c56b4cca1fefa,2
0x461e76a4fe9f27605d4097a646837c32f1ccc31c,304
0x3a4408c8b3b6733f5cf495c997bd3658466a8c8f,2
