Address,Amount
0x762c8b9ffe6b8b34c8667717ec9ba07e53af1f7b,138
0x8e3d6c8f591d73ebcf79810ebc4b3adf829d2fb6,45
0x60559b4cc92292b589ded75295f5331adcc69e04,705
0x832f8d456de30373cc9d1acbd9b7b079baf521b2,23
0x8b611a0747f714f657c0a8575f877ec5ad9189d0,15
0xa0eb44b173af64f2fdb47c7d76ff3a33e04103b6,53
0x0db1f475e841948777eaaa6519efeb6e4d01648c,122
0xee4b69b2c5e445bd892229f23c217cb7e269d3c7,26
0x0ec428f77868657f9bc585290f0eb65ff91fdf75,1
0xddd6cf8d3e028c37bf88bb173624ded9689657cb,267
0x9af799dda8914a8d01b74918ff60ee0a5d4a988c,8
0x14fe21f94665f173d99503d254bea54b5081d49d,100
0x5220dcff120e00cc238945686277f0e50782a22d,351
0x3fc232c07dcf2759af9270f0a7d3856b9e8cccba,1055
0x4bc735a8631218aa776f80bdace33ab292483d20,417
0x0fea49dd6457ac8a79ea06d564eba7af4a96cdbb,1
0x17fba501df40e83605d01fbef7f68174537e361a,25
0x6d1be6742f6270ccf938ca08d660d5fd29ad8fd7,76
0x5cac7b9236dbb25e040442f5c7839cc4346015af,205
0x640471b47929d9b43acc01cb36d86fa537f2876f,10
0x422a002105e8a5925fc1e93d2281a7ae989f7265,9
0xe87efb72022361d29e09f673cbd53ce1e4a9a54c,7
0x689773905a0984e9ed727eb8363106adfe4d59e3,21
0x90f15e09b8fb5bc080b968170c638920db3a3446,420
0x5adea93feb70c6dec4c1cbb89f1930eb06afda1f,2
0xe11bf8c9d4fd0dec48f0c8e54c7083f3fed8ee5c,51
0x876bba100e520a5552b13d8924b3fb86c9ebc8de,22
0xf41939922947f7c93cfa77364b35c6e85e53aef3,1
0xe9f7aa0fd19d270dd7d10db5396cc1c5f5195a4e,18
0xd6bf9d9079139dbb3a4fdb84b07efc75ea77838f,3
0x4b12cab510077bd8cfcfc4e0fb2b746fdbdf4f3f,1
0xb5d26158102181dc4ceee75f260a60debd752e45,71
